,team_x,opp,season,toDif,scoreDif,pfDif,blkDif,astDif,drDif,stlDif,orDif,fgpDif,fg3pDif,ftpDif,offRatDif,defRatDif,daynum_x,elo_x,team_y,daynum_y,elo_y,eloDif,predicted
0,1314,1462,2016,-1.8382352941,0.9209558824,-2.2757352941,1.31985294118,1.7426470588,-0.9963235294,-0.43014705882,0.9669117647,0.026725613356,-0.047713489341,0.006819421713,4.878342588,1.5031809628,154,2075,1462,139,1922,153,0.682795118504
1,1314,1452,2016,-3.0882352941,3.0588235295,-5.4705882353,1.85294117647,3.3529411764,3.6764705882,-3.05882352941,-1.8823529412,0.026542875306,-0.014654990822,0.067747382641,5.768765792,4.882658678,154,2075,1452,137,1911,164,0.676881016874
2,1314,1246,2016,-0.0882352941,2.5882352942,-2.5588235294,-1.26470588235,3.7058823529,1.2352941177,1.26470588236,1.1470588235,0.000177129835,-0.056593002685,0.054190969084,0.706770609,0.0645455356,154,2075,1246,138,1943,132,0.575929362964
3,1314,1231,2016,-2.7444852941,-0.0165441176,-0.2757352941,0.41360294118,2.1488970588,1.5974264706,-0.05514705882,1.9981617647,-0.022334964116,-0.100804509214,0.014561277281,-2.203306313,-1.0276793607,154,2075,1231,144,1920,155,0.570473219175
4,1314,1323,2016,1.1930147059,6.5459558824,2.4117647059,0.47610294118,4.6488970588,1.7849264706,1.28860294118,3.1231617647,0.007479862767,-0.055023143972,0.002294534835,1.365835215,-8.4362415961,154,2075,1323,146,1899,176,0.748968424717
5,1314,1458,2016,-0.0569852941,13.3897058824,0.9742647059,1.19485294118,6.5238970588,3.4724264706,1.00735294118,2.5919117647,0.04910412998,-0.043733465128,0.030095857093,10.049862201,-0.7022411441,154,2075,1458,144,1880,195,0.805306548629
6,1314,1425,2016,-1.3003565062,1.4162210339,0.4572192514,-1.07219251337,3.23885918,-0.5133689839,0.54901960785,2.0294117647,0.021184040422,-0.071291531669,0.059162600922,7.018685333,-2.6766753371,154,2075,1425,136,1717,358,0.809612302612
7,1314,1344,2016,-0.6033868093,8.2950089127,1.0026737968,0.77629233512,2.2085561497,2.0320855615,0.24598930482,2.362745098,0.056752181654,-0.007094000805,0.010438114848,12.079863107,0.5223553689,154,2075,1344,138,1815,260,0.825492805633
8,1314,1338,2016,-0.7656546489,6.490512334,0.4278937382,0.93074003795,1.3434535104,1.9734345351,1.85009487666,1.3842504744,0.019548658001,-0.037457697835,-0.019987105094,3.484975526,-4.1588563921,154,2075,1338,137,1726,349,0.782409590074
9,1314,1276,2016,1.18449197863,7.8404634582,2.2450980392,2.29144385027,3.1479500891,2.7896613191,1.45811051694,6.15062388591,0.013956780608,-0.070260007949,-0.001623355023,4.325359583,-4.3136081151,154,2075,1276,137,1779,296,0.790760206502
10,1314,1409,2016,0.105313093,8.2647058824,0.2020872865,1.70493358634,4.4079696394,2.0056925996,0.07590132828,3.9326375712,0.03478930791,-0.015374639167,0.0597643847,10.452239337,-1.2876702171,154,2075,1409,135,1700,375,0.855011316629
11,1314,1151,2016,-1.2757352941,7.4834558824,0.4742647059,-0.36764705882,4.1488970588,2.4411764706,-0.46139705882,3.0919117647,0.028120713306,-0.047133536816,0.004968331626,6.674125844,-0.1774079023,154,2075,1151,136,1725,350,0.767734788934
12,1314,1392,2016,-0.7549019608,6.7980392157,1.6784313726,-0.21764705882,1.8176470588,0.4411764706,0.98235294118,2.1960784314,0.001928042506,-0.061348125981,0.068599105444,5.84372083,2.7108271521,154,2075,1392,136,1708,367,0.706403943519
