,season,team,opp_toAvg,opp_scoreAvg,opp_orAvg,toAvg,opp_stlAvg,scoreAvg,pfAvg,blkAvg,astAvg,opp_astAvg,opp_drAvg,drAvg,opp_blkAvg,stlAvg,opp_pfAvg,orAvg,fgp,fg3p,ftp,opp_fgp,opp_fg3p,opp_ftp,OffRating,DefRating
0,2003,1102,12.9642857143,57.0,9.60714285714,11.4285714286,5.42857142857,57.25,18.75,1.78571428571,13.0,9.14285714286,20.1428571429,16.8214285714,1.57142857143,5.96428571429,18.3571428571,4.17857142857,0.481149012567,0.3756432247,0.651356993737,0.454545454545,0.382183908046,0.710575139147,105.672600519,103.76944458
1,2003,1103,15.3333333333,78.1481481481,12.037037037,12.6296296296,6.40740740741,78.7777777778,19.8518518519,2.33333333333,15.2222222222,15.4814814815,22.037037037,19.9259259259,2.85185185185,7.25925925926,22.4444444444,9.77777777778,0.486074270557,0.338709677419,0.736389684814,0.487329434698,0.362903225806,0.719063545151,113.512289299,110.352762742
2,2003,1104,13.8571428571,65.0,10.8928571429,13.2857142857,5.53571428571,69.2857142857,18.0357142857,3.78571428571,12.1071428571,11.6785714286,22.6428571429,23.9285714286,3.17857142857,6.60714285714,19.25,13.5714285714,0.420362273579,0.320143884892,0.709897610922,0.418918918919,0.332089552239,0.708333333333,105.807567253,97.5871313673
3,2003,1105,18.8076923077,76.6538461538,13.1923076923,18.6538461538,9.38461538462,71.7692307692,20.2307692308,2.07692307692,14.5384615385,15.8076923077,26.3846153846,23.1153846154,4.19230769231,9.30769230769,19.0769230769,13.5,0.395755305868,0.364814814815,0.705985915493,0.457925636008,0.357456140351,0.668759811617,95.2686783703,100.576561573
4,2003,1106,15.0714285714,63.75,11.3214285714,17.0357142857,8.78571428571,63.6071428571,18.1785714286,3.14285714286,11.6785714286,11.7857142857,22.3571428571,23.8571428571,3.17857142857,8.35714285714,16.1428571429,12.2857142857,0.423772609819,0.346153846154,0.646420824295,0.406688963211,0.31455399061,0.707317073171,95.5350375811,94.3383761644
5,2003,1107,14.9642857143,75.7142857143,13.3928571429,12.5714285714,5.53571428571,65.9285714286,15.8928571429,2.03571428571,11.9285714286,18.75,27.0714285714,20.25,3.53571428571,6.85714285714,15.9285714286,8.25,0.418272218769,0.357487922705,0.733509234828,0.482944344704,0.360078277886,0.69696969697,97.5313310352,109.591873659
6,2003,1108,16.7272727273,73.1212121212,12.5757575758,18.4545454545,8.57575757576,69.0909090909,19.6666666667,3.51515151515,13.8484848485,15.4545454545,23.7272727273,23.2121212121,2.87878787879,8.18181818182,19.0,13.1212121212,0.424664602683,0.319109461967,0.668596237337,0.437242798354,0.318181818182,0.69140625,95.1897106972,98.6589255049
7,2003,1110,14.5666666667,61.9,11.0,13.1666666667,5.9,66.3666666667,18.1333333333,1.73333333333,14.2333333333,12.1333333333,23.1333333333,23.1333333333,3.13333333333,6.4,17.0666666667,10.0,0.432752179328,0.378962536023,0.681451612903,0.427763819095,0.334519572954,0.618951612903,104.282633749,95.9888349013
8,2003,1111,18.6923076923,81.7307692308,13.2692307692,16.1923076923,8.92307692308,83.2692307692,18.6923076923,4.61538461538,15.2307692308,16.6153846154,26.6153846154,25.3076923077,3.88461538462,9.84615384615,21.0769230769,13.0,0.443649373882,0.327495621716,0.71953010279,0.455184534271,0.347008547009,0.740442655936,105.808040606,101.963700922
9,2003,1112,16.8571428571,70.25,13.1071428571,14.7857142857,5.96428571429,85.2142857143,17.75,4.21428571429,17.6428571429,15.4642857143,23.2857142857,27.6428571429,2.39285714286,8.46428571429,22.0714285714,15.1785714286,0.461413043478,0.350533807829,0.701428571429,0.40750966317,0.316636851521,0.633064516129,112.875266078,91.4203383529
10,2003,1113,15.5172413793,69.1724137931,11.0,14.0,6.0,75.9655172414,19.4137931034,4.24137931034,15.5517241379,14.0689655172,20.5517241379,23.3103448276,3.93103448276,5.20689655172,22.8620689655,13.6896551724,0.478181818182,0.317808219178,0.669736842105,0.445477075589,0.34273318872,0.689075630252,110.518799147,98.9334812897
